Year,Make,Model,Price,KM Driven,Fuel Type,Transmission,Location_code,Location,Link
2021,WR-V,1.2L I-VTEC VX MT,625000.0,28420.0,Petrol,Manual,DL-4C,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-honda-wr-v-2021-cars-new-delhi-10029709755/
2015,City,1.5L I-VTEC VX CVT,495000.0,56800.0,Petrol,Auto,DL-14,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-honda-city-2015-cars-new-delhi-20010643707/
2018,Jazz,1.2L I-VTEC SV,389000.0,61780.0,Petrol,Manual,DL-2C,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-honda-jazz-2018-cars-new-delhi-10033441768/
2015,City,1.5L I-VTEC SV CVT,431000.0,82440.0,Petrol,Auto,DL-2C,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-honda-city-2015-cars-new-delhi-10166301719/
2019,CRV,1.6L I-DTEC 2WD AT,1550000.0,70980.0,Diesel,Auto,HR-26,"CARS24 ELITE Hub, Malibu Town, Sector 47",https://www.cars24.com/buy-used-honda-crv-2019-cars-gurgaon-10124209770/
2017,City,1.5L I-VTEC ZX CVT,652000.0,79660.0,Petrol,Auto,DL-9C,"Vaishali, Ghaziabad",https://www.cars24.com/buy-used-honda-city-2017-cars-ghaziabad-10104943706/
2019,Amaze,1.2L I-VTEC S,407000.0,86690.0,Petrol,Manual,HR-26,"M3M Urbana, Golf Course Ext., Gurugram",https://www.cars24.com/buy-used-honda-amaze-2019-cars-gurgaon-29615643728/
2019,Amaze,1.2L I-VTEC S CVT,493000.0,19630.0,Petrol,Auto,DL-4C,"Sector-18, Noida",https://www.cars24.com/buy-used-honda-amaze-2019-cars-noida-10073343709/
2019,Amaze,1.2L I-VTEC E,426000.0,28160.0,Petrol,Manual,HR-05,"M3M Urbana, Golf Course Ext., Gurugram",https://www.cars24.com/buy-used-honda-amaze-2019-cars-gurgaon-12078902715/
2020,City,1.5L I-VTEC SV,670000.0,24430.0,Petrol,Manual,HR-26,"Udyog Vihar, Sector 18, Gurgaon",https://www.cars24.com/buy-used-honda-city-2020-cars-gurgaon-10125406717/
2017,City,1.5L I-VTEC V MT,472000.0,93240.0,Petrol,Manual,DL-9C,"Sector-18, Noida",https://www.cars24.com/buy-used-honda-city-2017-cars-noida-10175104716/
2021,City,1.5L I-VTEC V MT 5TH GEN,738000.0,44690.0,CNG,Manual,DL-4C,"Sector-18, Noida",https://www.cars24.com/buy-used-honda-city-2021-cars-noida-10056245756/
2022,City,1.5L I-VTEC VX,825000.0,48920.0,Petrol,Manual,HR-26,"M3M Urbana, Golf Course Ext., Gurugram",https://www.cars24.com/buy-used-honda-city-2022-cars-gurgaon-10190548762/
2019,Amaze,1.2L I-VTEC VX CVT,532000.0,63370.0,CNG,Auto,HR-26,"M3M Urbana, Golf Course Ext., Gurugram",https://www.cars24.com/buy-used-honda-amaze-2019-cars-gurgaon-10099202774/
2019,City,1.5L I-VTEC ZX CVT,821000.0,33430.0,Petrol,Auto,UP-14,"GNB Mall, Raj Nagar Extension, Ghaziabad",https://www.cars24.com/buy-used-honda-city-2019-cars-ghaziabad-11267305751/
2020,Amaze,1.2L I-VTEC V,497000.0,43490.0,Petrol,Manual,DL-4C,"Sector-18, Noida",https://www.cars24.com/buy-used-honda-amaze-2020-cars-noida-10097205778/
2018,City,1.5L I-VTEC V MT,650000.0,69290.0,Petrol,Manual,UP-16,"CARS24 Network, Sec-11 Faridabad",https://www.cars24.com/buy-used-honda-city-2018-cars-faridabad-11095809791/
2015,Amaze,1.2L I-VTEC S,302000.0,71380.0,Petrol,Manual,HR-26,"Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3",https://www.cars24.com/buy-used-honda-amaze-2015-cars-faridabad-10536108718/
2017,Amaze,1.2L I-VTEC S OPT,326000.0,68080.0,Petrol,Manual,HR-51,"Udyog Vihar, Sector 18, Gurgaon",https://www.cars24.com/buy-used-honda-amaze-2017-cars-gurgaon-10054947763/
2024,City,1.5L I-VTEC V,1011000.0,10890.0,Petrol,Manual,DL-8C,"GNB Mall, Raj Nagar Extension, Ghaziabad",https://www.cars24.com/buy-used-honda-city-2024-cars-ghaziabad-10080940725/
2018,WR-V,1.2L I-VTEC VX MT,550000.0,66340.0,Petrol,Manual,HR-26,"CARS24 Network, Sec-11 Faridabad",https://www.cars24.com/buy-used-honda-wr-v-2018-cars-faridabad-11027608791/
2023,Amaze,1.2L I-VTEC VX,649000.0,29250.0,Petrol,Manual,HR-06,"M3M Urbana, Golf Course Ext., Gurugram",https://www.cars24.com/buy-used-honda-amaze-2023-cars-gurgaon-16337620743/
2016,Amaze,1.2L I-VTEC S,306000.0,70710.0,Petrol,Manual,HR-26,"Udyog Vihar, Sector 18, Gurgaon",https://www.cars24.com/buy-used-honda-amaze-2016-cars-gurgaon-10169147705/
2019,Jazz,1.2L I-VTEC VX CVT,487000.0,50280.0,Petrol,Auto,DL-8C,"Sector-18, Noida",https://www.cars24.com/buy-used-honda-jazz-2019-cars-noida-10011004714/
